rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
662,NCT02433288,Rosuvastatin Adherence App Study in China (eHELP China),Interventional,NP,industry,AstraZeneca,Guided,Non-hospital,No,Prevention,"Endocrine, nutritional or metabolic diseases",Dyslipidemia,Parallel Assignment,Supportive Care,2015,15.53333333,2,885,Research Site,北京市,NA,"Beijing, China, 100034",NA,"Beijing, China, 100045",NA,"Beijing, China, 100049",NA,"Beijing, China, 100191",,,,,,,,,,,Completed,18 Years to 80 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
663,NCT05990946,Smartphone-based Remote Symptom Monitoring to Improve Postoperative Rehabilitation Exercise Adherence After Video-assisted Thoracic Surgery (VATS) for Lung Cancer,Interventional,NP,hospital/university,"Zhongshan People's Hospital, Guangdong, China",Guided,Hospital,No,Management,Neoplasms,"Lung Neoplasms, Non-Small Cell Lung Cancer",Parallel Assignment,Supportive Care,2023,25.33333333,1,736,No.2 Sunwen East Rd.,广东省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 75 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
664,NCT06134908,PRevention of OsTEoporotiC FracTure 2 Pilot Study (PROTECT-2),Interventional,NP,hospital/university,"Third Affiliated Hospital, Sun Yat-Sen University",Fully-automated,Non-hospital,No,Management,Diseases of the musculoskeletal system or connective tissue,Fragility Fracture,Parallel Assignment,Health Services Research,2024,41.16666667,2,50,The Second Affiliated Hospital of Hunan University of Chinese Medicine,湖南省,NA,"Dongguan, China",NA,"Guangzhou, China",NA,"Hangzhou, China",NA,"Hefei, China",,,,,,,,,,,RECRUITING,50 Years and older,,All,randomized-NP,Randomized,single(participant),Single
665,NCT05106244,Remote Real-Time Guidance System in Home Care of Patients With PICC or PORT (RRTGS),Interventional,NP,hospital/university,First Affiliated Hospital Xi'an Jiaotong University,Fully-automated,Hospital,No,Treatment,Diseases of the digestive system,Gastrointestinal Neoplasms,Parallel Assignment,Treatment,2022,32.4,1,200,First Affiliated Hospital of Xian Jiaotong University,陕西省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 75 Years,,All,randomized-NP,Randomized,single(participant),Single
666,NCT06370533,Healthy Gestational Weight Gain Programme,Interventional,NP,hospital/university,Peking University,Fully-automated,Hospital,No,Treatment,Diseases of the digestive system,Gestational Weight Gain,Parallel Assignment,Prevention,2024,23.7,1,200,Tongzhou Maternal and Child Health-care Institution,北京市,NA,"Weifang, Shandong, China",NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 40 Years,,Female,randomized-NP,Randomized,single(outcomes assessor),Single
667,NCT05798013,Effectiveness of Digital Health Management on Patients With Head and Neck Vascular Stenosis,Interventional,NP,self-fund,Yi Yang,Fully-automated,Non-hospital,No,Treatment,Diseases of the circulatory system,Head and Neck Vascular Stenosis,Parallel Assignment,Prevention,2023,48.7,2,102072,First Hospital of Jilin University,吉林省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,35 Years and older,,All,randomized-NP,Randomized,single(outcomes assessor),Single
668,NCT05602051,Mindfulness-based Virtual Reality Intervention,Interventional,NP,hospital/university,Nanjing University of Traditional Chinese Medicine,Fully-automated,Non-hospital,No,Treatment,Neoplasms,Hematologic Neoplasms,Parallel Assignment,Supportive Care,2021,13.16666667,1,110,the First Affiliated Hospital of Nanjing Medical University,江苏省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 85 Years,,All,randomized-NP,Randomized,single(outcomes assessor),Single
669,NCT06011213,Early-warning Intervention for Heat Waves and Cold Spells in Older Hypertensive Patients,Interventional,NP,self-fund,Tiantian Li,Fully-automated,Non-hospital,No,Treatment,Diseases of the circulatory system,Hypertension,Parallel Assignment,Prevention,2023,8.6,2,258,"National Institute of Environmental Health, Chinese Center for Disease Control and Prevention",北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,60 Years to 65 Years,,All,randomized-NP,Randomized,"double(participant, investigator)",Double
670,NCT03206814,Improving Hypertension Control in CHina and ARGEntina With a Mobile APP-based Telecare System (CHARGE-APP),Interventional,NP,hospital/university,Istituto Auxologico Italiano,Fully-automated,Non-hospital,No,Treatment,Diseases of the circulatory system,"Hypertension,Essential",Parallel Assignment,Treatment,2021,43.33333333,2,480,Spanish Hospital of Mendoza,NA,NA,"Shanghai, Huangpu, China",NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 80 Years,,All,randomized-NP,Randomized,single(outcomes assessor),Single
671,NCT05218382,Pain Relief Using VR in Oocyte Retreival,Interventional,NP,hospital/university,The University of Hong Kong,Fully-automated,Non-hospital,No,Treatment,Diseases of the genitourinary system,Infertility,Parallel Assignment,Treatment,2022,14.23333333,2,160,Department of Obstetrics and Gynaecology,香港特别行政区,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 42 Years,,Female,randomized-NP,Randomized,NP,NA
672,NCT06167668,The Influence of Internet + Combined Family Empowerment Management Mode on Treatment Compliance of PATIENTS With CKD,Observational,NP,hospital/university,Shanxi Medical University,Fully-automated,Non-hospital,No,Management,Diseases of the genitourinary system,Internet,NA,Cohort,2023,12.23333333,2,100,The Second Hospital of Shanxi Medical University,山西省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,40 Years to 60 Years,,All,Non-Randomized,Prospective,NP,NA
673,NCT02140658,Affect of Health Education on Statins Medication Persistence and ClinicaL Prognosis of Ischemic Stroke Patients (HELP),Interventional,NP,self-fund,yongjun wang,Fully-automated,Non-hospital,No,Treatment,Diseases of the nervous system,Ischemic Stroke,Parallel Assignment,Prevention,2014,16.26666667,2,3111,"Beijing Tian Tan Hospital, Capital Medical University",北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 80 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
674,NCT04567121,Internet Technology Based Life-style and Care Intervention for Risk Factors of Non Communicable Diseases（NCD）,Interventional,NP,hospital/university,Beijing Tsinghua Chang Gung Hospital,Fully-automated,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Lifestyle Intervention,Parallel Assignment,Health Services Research,2018,NP,2,60000,Beijing Tsinghua Changgung Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,25 Years and older,,All,randomized-NP,Randomized,open label,None (Open Label)
675,NCT06346496,Young People Aged 18-25 With Depression or Anxiety Mood Participate in an LLM-based Digital Dialogue Intervention Study,Interventional,NP,hospital/university,"Institute of Psychology, Chinese Academy of Sciences",Fully-automated,Hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",LLM-based AI Dialogue Bot,Parallel Assignment,Other,2023,1.866666667,2,657,"Institute of Psychology, Chinese Academy of Sciences",北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 25 Years,,All,randomized-NP,Randomized,single(participant),Single
676,NCT01944319,Meropenem Dosage Strategy Based on PPK Model,Interventional,Phase 4,self-fund,Qingtao Zhou,Fully-automated,Non-hospital,No,Management,Diseases of the respiratory system,Lower Respiratory Tract Infection,Parallel Assignment,Treatment,2014,27.4,2,79,Peking University Third Hospita,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,60 Years to 95 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
677,NCT06085768,A Preliminary Study on the Intervention Effect of Virtual Reality Exposure Therapy on Fear of Flying,Interventional,NP,hospital/university,Shanghai Mental Health Center,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Fear of Flying,Parallel Assignment,Treatment,2023,4.5,2,64,Shanghai Mental Health Center,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 65 Years,,All,randomized-NP,Randomized,single(investigator),Single
678,NCT03748576,A Prospective Randomized Controlled Trial of Mobile Medical Used for Management of Pregnant Women,Interventional,NP,hospital/university,Peking Union Medical College Hospital,Fully-automated,Hospital,yes,Management,"Pregnancy, childbirth or the puerperium",Maternal Behavior,Parallel Assignment,Health Services Research,2017,31.4,1,640,"Department of ob gyn, Peking Union Medical College Hospital",北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 45 Years,,Female,randomized-NP,Randomized,open label,None (Open Label)
679,NCT06252025,Immersive VR Reminiscence System for Facilitating Memory Retrieval Among Nursing Home Older Adults,Interventional,NP,self-fund,Zhu Dian,Fully-automated,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders","Memory, Repressed",Parallel Assignment,Supportive Care,2023,13.23333333,2,36,Dian Zhu,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,"ACTIVE, NOT RECRUITING",60 Years to 85 Years,,All,randomized-NP,Randomized,"triple(participant, investigator, outcomes assessor)",Triple
680,NCT05550493,Digital Therapeutics Smartphone Application for Methamphetamine Use Disorder,Interventional,NP,industry,"Adai Technology (Beijing) Co., Ltd.",Guided,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Methamphetamine Abuse,Parallel Assignment,Treatment,2021,16.16666667,2,100,"Chengdu, Sichuang, China",NA,NA,NA,NA,NA,NA,NA,NA,Cue induced craving for methamphetamine,,,,,,,,,,,Completed,All,,NP,randomized-NP,Randomized,open label,None (Open Label)
681,NCT02597205,The Adherence and Knowledge Exchange Heart and Stroke Medicines Study (TAKEmeds),Interventional,Early Phase 1,hospital/university,Duke Kunshan University,Guided,Non-hospital,No,Treatment,Diseases of the circulatory system,Myocardial Infarction,Single Group Assignment,Prevention,2015,13.23333333,1,190,Hainan Nongken General Hospital,海南省,NA,"Shanghai, Shanghai, China, 200000",NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years and older,,All,NP,N/A,open label,None (Open Label)
682,NCT06399523,A Study to Evaluate the Efficacy of VR for Bipolar Disorder,Interventional,NP,hospital/university,Shanghai Mental Health Center,Fully-automated,Non-hospital,yes,Treatment,"Mental, behavioural or neurodevelopmental disorders",Bipolar Disorder,Parallel Assignment,Treatment,2024,12.16666667,2,48,Shanghai Mental Health Center,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,13 Years and older,,All,randomized-NP,Randomized,single(outcomes assessor),Single
683,NCT06250920,Effect of Virtual Reality-Based Visual Training for Myopia Control in Children,Interventional,NP,hospital/university,Shanghai 10th People's Hospital,Fully-automated,Non-hospital,No,Management,Diseases of the visual system,Myopia,Parallel Assignment,Treatment,2020,9.066666667,2,65,Shanghai Tenth People's Hospital,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,8 Years to 13 Years,,All,randomized-NP,Randomized,"double(care provider, outcomes assessor)",Double
684,NCT05527938,Web-based Interventions on Nonalcoholic Fatty Liver Disease (NAFLD) in Obese Children,Interventional,NP,hospital/university,Shaoxing Maternity and Child Health Care Hospital,Fully-automated,Non-hospital,No,Management,Diseases of the digestive system,NAFLD,Parallel Assignment,Supportive Care,2022,11.16666667,1,85,Caixia Tian,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,7 Years to 18 Years,,All,randomized-NP,Randomized,NP,NA
685,NCT05501990,Study on the Accessibility and Feasibility of Intelligent Applet for Health Intervention of Cancer Patients,Interventional,NP,hospital/university,Ruijin Hospital,Fully-automated,Non-hospital,No,Management,Neoplasms,Cancer,Single Group Assignment,Other,2023,30.46666667,1,800,Ruijin Hospital，Shanghai Jiao Tong University School of Medicine,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years and older,,All,NP,N/A,open label,None (Open Label)
686,NCT04779372,Digital Cognitive Behavioral Therapy for Insomnia (dCBT-I) for Chronic Insomnia ：A Randomized Controlled Trial,Interventional,NP,hospital/university,Peking University First Hospital,Guided,Non-hospital,No,Treatment,Sleep-wake disorders,Chronic Insomnia,Parallel Assignment,Treatment,2021,15.63333333,2,82,Peking University First Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years and older,,All,randomized-NP,Randomized,NP,NA
687,NCT05834712,Patients With Stage III-IVa Nasopharyngeal Carcinoma With or Without a Mobile Medical Platform Full-course Nutritional Intervention,Interventional,NP,hospital/university,Sun Yat-sen University,Fully-automated,Non-hospital,No,Management,Neoplasms,Nasopharyngeal Carcinoma,Parallel Assignment,Prevention,2022,18.96666667,2,224,"Department of Nasopharyngeal Carcinoma, Sun Yat-sen University Cancer Center",广东省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 70 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
688,NCT06421272,APP-based Emotion Recognition Training Improve ASD Social Function,Interventional,Phase 1,hospital/university,University of Electronic Science and Technology of China,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Autism Spectrum Disorder High-Functioning,Parallel Assignment,Treatment,2023,17.2,2,50,University of Electronic Science and Technology,四川省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,4 Years to 10 Years,,All,randomized-NP,Randomized,NP,NA
689,NCT05921331,RJBC-APP and Breast Cancer Treatment Compliance,Interventional,NP,hospital/university,Shanghai Jiao Tong University School of Medicine,Fully-automated,Hospital,No,Treatment,Neoplasms,Breast Cancer,Parallel Assignment,Other,2023,36.53333333,2,490,Xiaosong Chen,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,18 Years to 70 Years,,Female,randomized-NP,Randomized,open label,None (Open Label)
690,NCT04465812,The Impact of a Smartphone-based Personalized Intervention on Cognitive and Cerebrovascular Health in CIRCLE-CHINA,Interventional,NP,hospital/university,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Fully-automated,Non-hospital,No,Management,Diseases of the nervous system,Cognitive Impairment,Parallel Assignment,Prevention,2020,45.96666667,1,238,"Second Affilated Hospital of Zhejiang University, School of Medicine",浙江省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,45 Years to 74 Years,,All,randomized-NP,Randomized,"double(investigator, outcomes assessor)",Double
691,NCT06075290,the Difference of Follow-up Methods of Neonatal Jaundice (NJFU),Observational,NP,hospital/university,Guizhou Provincial People's Hospital,Guided,Non-hospital,No,Management,Certain conditions originating in the perinatal period,Neonatal Jaundice,NA,Cohort,2023,19.26666667,2,1000,People's Hospital of Anshun City Guizhou Province,贵州省,NA,"Guiyang, Guizhou, China, 550001",NA,"Guiyang, Guizhou, China, 550002",NA,NA,NA,NA,,,,,,,,,,,RECRUITING,0 Days to 16 Weeks,,All,Non-Randomized,Prospective,NP,NA
692,NCT05180760,Smartphone App for Non-alcoholic Fatty Liver Disease (AppLiver),Interventional,NP,hospital/university,The University of Hong Kong,Fully-automated,Non-hospital,No,Management,Diseases of the digestive system,Non-Alcoholic Fatty Liver Disease,Parallel Assignment,Supportive Care,2023,42.63333333,2,260,The University of Hong Kong,香港特别行政区,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 65 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
693,NCT05734872,Research on the Intervention of VR-based Emotion Regulation Technology on Adolescent Non-suicide Self-injury Behavior (VR),Interventional,NP,hospital/university,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Fully-automated,Non-hospital,No,Treatment,"Symptoms, signs or clinical findings, not elsewhere classified",Non-suicidal Self-injury,Parallel Assignment,Treatment,2022,24.36666667,2,60,Second Affiliated Hospital of Zhejiang University,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 24 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
694,NCT06379191,The Efficacy of WeChat-based Multidisciplinary Full-course Nutritional Management Program,Interventional,NP,hospital/university,Peking Union Medical College Hospital,Guided,Non-hospital,No,Management,Neoplasms,Ovarian Cancer,Parallel Assignment,Health Services Research,2023,9.033333333,1,78,"Peking Union Medical College Hospital, Chinese Academy of Medical Sciences",北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years and older,,Female,randomized-NP,Randomized,open label,None (Open Label)
695,NCT05637736,Effects of an Immersive Virtual Reality Intervention,Interventional,NP,hospital/university,Nanjing University of Traditional Chinese Medicine,Fully-automated,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Nurse's Role,Parallel Assignment,Supportive Care,2022,10.13333333,2,81,Wu Ye,江苏省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,"ACTIVE, NOT RECRUITING",18 Years to 60 Years,,All,randomized-NP,Randomized,single(participant),Single
